UID,Col1,Col2,Col3
0,62,604,1206017537985782784
1,169,2525,7827599218008637440
2,244,1136,11676818474804328448
3,209,1101,12164907561757831168
4,157,3332,17086698786572308480
5,38,437,6652174534972599296
6,49,736,15270749180393728000
7,198,2072,12817776722258419712
8,65,1106,7556579099701108736
9,146,364,15602076778096998400
10,19,2920,4193489506844171776
11,90,2045,2678204598348038656
12,169,1166,18110486476001032192
13,129,2047,17171920113205843968
14,134,1526,4220137077920608256
15,84,2474,13562754876588859392
16,179,675,3075984469009883136
17,141,18,16734654046952566784
18,13,3811,14862065164844388352
19,154,1383,9451983047939229696
20,237,1609,114661332444956624
21,194,519,17799649916590168064
22,236,2130,12366536796484747264
23,48,2448,630141334757268736
24,14,3302,12576007530194096128
25,235,3602,10697391498083522560
26,24,2097,10857222361775249408
27,180,1410,8025385564958797824
28,103,170,9531228737582635008
29,44,917,1474403941510240512
30,144,1464,15142838098834831360
31,86,2723,3356182485999992832
32,31,3100,11513727928416376832
33,220,979,16766947136468236288
34,40,2741,2612397927038391808
35,75,2007,4160822363981204480
36,101,2015,11712801688712206336
37,94,2881,17101456848783273984
38,131,3248,1789181227555811584
39,10,98,12784403942279788544
40,104,600,1130457747518726528
41,231,743,7197456868023062528
42,198,637,4317185042626913280
43,147,948,15500867092324036608
44,90,1977,1976911223878702592
45,199,371,15312376345404866560
46,121,3255,12333090305454776320
47,207,751,8432282523684520960
48,210,3250,10973220557849907200
49,218,1065,12712089120083181568
50,251,345,5513151478099195904
51,195,1707,18318932681597673472
52,111,3140,11273466682055213056
53,226,2860,7621884422537683968
54,211,273,1715737595616946688
55,227,204,8483137082505959424
56,99,987,10528583629869199360
57,131,3831,2136035602485067264
58,159,1382,3857456425390927872
59,10,3688,13896915714050889728
60,64,1989,1644604101105929984
61,76,158,13330096737532991488
62,66,1631,14029898307768969216
63,190,2752,3079407052483025920
64,95,427,14317723783490330624
65,205,587,14516967227684882432
66,35,281,10352312777293735936
67,71,3038,15005624816267448320
68,200,3915,9373967660868339712
69,89,1430,12017843178266918912
70,228,2254,15557022112947961856
71,250,1715,14634186258896500736
72,139,4094,14873027311635425280
73,59,1621,11723310266161139712
74,102,2405,16131358642330040320
75,144,995,13098683406104735744
76,224,3913,6451557017220019200
77,205,2661,6677734544241699840
78,140,1707,6512731425434010624
79,213,23,10011938567270498
80,157,1233,9469544854221293568
81,39,2584,3922921444649252864
82,32,948,13727457676834570240
83,35,749,14772867913014966272
84,175,1010,7045731860682016768
85,233,1337,15768516058030413824
86,149,407,5662906847498090496
87,198,3555,3866770808438346752
88,226,2344,429542873199099264
89,244,2944,2374219461918923776
90,14,3167,10903400714876174336
91,107,2321,13260177954653911040
92,242,2150,1822935174243117056
93,110,2754,2796320179453907456
94,230,1521,17757052408464785408
95,83,4,7285181427689605120
96,45,1731,7818973024768072704
97,77,2285,6902310652374201344
98,167,2064,3607637359315106304
99,53,1603,15815956652708917248
100,52,152,2913330663009889280
101,114,3390,11006255071461527552
102,253,507,4952494075998537728
103,68,936,4508493469913946624
104,118,95,15045624796558022656
105,191,3532,11080272788677867520
106,47,1854,9442144812758939648
107,20,3060,3467894129913145344
108,112,1108,1711274890490294016
109,211,1196,7579978736527526912
110,94,2901,15596966210110490624
111,91,2420,18286541831229169664
112,96,3998,11671334767868168192
113,156,3187,10367838315349075968
114,105,1562,14373240188814567424
115,142,2874,16486158122813712384
116,254,547,14037366063953143808
117,19,597,11123714607509405696
118,40,3727,2714069247762519552
119,242,2258,11311429619393425408
120,158,1463,17157943237490216960
121,46,1190,5409840690273925120
122,199,1766,17390240158751895552
123,235,2305,15064406235460071424
124,120,29,9387280843369191424
125,25,2726,2211434020828584704
126,249,1435,14766669534596653056
127,112,1165,15014270948542892032
128,69,3119,11805842160862699520
129,98,3004,1074003299344001280
130,191,3452,17766822590508355584
131,232,753,5418175444065333248
132,207,328,9421837544424863744
133,209,2016,14906103122395856896
134,81,28,13519730306382827520
135,81,489,17488838441786660864
136,30,2539,6617118927521748992
137,73,2160,4334707363093630464
138,117,844,10336374279513438208
139,138,3901,8736183934097321984
140,28,1877,11366433590758903808
141,105,3042,11602131267066556416
142,98,3087,7699086735453645824
143,195,2671,1959321157603443968
144,70,1608,16098108575196741632
145,69,2135,8932672744242096128
146,107,1763,2865138133930709504
147,196,1294,11039134615034492928
148,44,3502,785741878394016256
149,135,4076,9042493499899138048
150,102,4001,6609623505738107904
151,194,3713,2826816235341524992
152,9,222,6560785496945347584
153,16,586,8249129999550100480
154,168,1582,10889258640823447552
155,109,2548,12715083099298721792
156,67,455,15347474204933867520
157,242,2763,4013933995488643072
158,70,977,5450866562451945472
159,151,502,119633215655361952
160,130,1607,16687820753380245504
161,176,1397,645532170706864512
162,36,1923,2018471323326782720
163,148,3817,13933344366197155840
164,106,95,1744296341999998464
165,157,2722,644410545320947072
166,22,2841,251556021869824832
167,68,84,16874282663670069248
168,243,56,4698324869884980224
169,21,1986,15936869332600428544
170,250,2518,8134785566474712064
171,35,2835,15284236952822075392
172,142,2724,3434116403097027584
173,48,2629,2208457351665940992
174,239,3347,5272026400666534912
175,239,2431,17684815806398541824
176,132,175,8437774616940124160
177,189,1649,124257963285399200
178,150,1510,7412800277598109696
179,140,2066,12612020366507292672
180,210,1589,16728834373930758144
181,165,283,17284952144981432320
182,178,1944,15426493113676181504
183,155,331,5234706934349428736
184,38,2150,12137770490188834816
185,246,717,1908652643704126208
186,240,1574,541528312740821888
187,212,2911,2291736688030332672
188,145,2910,12862613370900860928
189,36,3546,16920225576834476032
190,34,3157,1313493590915323136
191,200,2659,13190521394966061056
192,141,141,17515259981886289920
193,82,2208,12436647702030528512
194,37,3084,8707669062782114816
195,205,2455,5433083565343515648
196,195,291,7665925262528201728
197,227,1662,18310995336449609728
198,181,2368,16883095924607930368
199,184,809,5303285094867447808
200,209,2321,12935114659451097088
201,108,2697,3462401390646206976
202,78,2025,10649344803913672704
203,63,617,7653138367540809728
204,125,2371,11758506456998313984
205,163,3633,5961640953203565568
206,51,3591,7478394969302339584
207,182,3018,2538751530735932416
208,158,2003,5729752844361728000
209,31,166,3751454700449406464
210,15,2937,7682071574705571840
211,220,568,4140961998836055552
212,36,1672,7177628615614074880
213,119,279,13110152493408677888
214,114,332,18426569896953049088
215,125,53,10696062367371933696
216,128,167,1834694539784960512
217,232,1991,6968396725088348160
218,18,1103,13783919080219355136
219,102,1165,5375783406877359104
220,164,4060,9432232144731459584
221,147,2617,12425194463419658240
222,60,499,1680851026603284480
223,177,2574,14482616315729514496
224,78,3498,4281125109084078592
225,169,3136,5127359964797818880
226,183,3774,3884848569600771584
227,185,2544,11621588922513725440
228,185,3473,11276596010624860160
229,217,1999,10971880145257916416
230,249,1804,4171323880772626944
231,229,2316,16377287668850315264
232,35,2722,14122801978918060032
233,230,2480,11258224948823095296
234,131,589,5658320750128077824
235,46,1245,3857456156849202176
236,173,1314,13361579869787498496
237,216,1172,17940617062807283712
238,37,3839,2317197765344197120
239,206,314,512063870461819584
240,81,2592,2197914023136018688
241,226,2937,17171062262094387200
242,45,1623,16495403828573241344
243,153,753,7184086477471289344
244,114,138,15337059571652765696
245,47,3643,2794963067229243392
246,84,316,8508677348679452672
247,235,1828,9952244679465572352
248,20,1814,16204899855022409728
249,146,3880,8476925315858074624
250,113,1312,5821838126518035456
251,98,2804,15850735543935905792
252,92,3328,3125917262777118720
253,231,3428,7074444994795064320
254,115,3266,3567757053524729856
255,38,597,5957346414091063296
256,6,422,8845800734140301312
257,130,3620,14387162049571944448
258,92,3136,8645836878158922752
259,40,97,11951944982880356352
260,95,1203,7901102153194371072
261,184,2397,847735606077341312
262,65,1595,497504856583411584
263,4,2185,3789448659196863488
264,248,3328,9161634988096651264
265,154,2123,4102292094396495872
266,70,4034,16659195352416808960
267,136,2312,16965817630597875712
268,83,1955,2309364566251732992
269,84,2487,112310650972066496
270,171,2922,3877519576689609728
271,144,3511,1696797579146573056
272,211,130,1157100661990731520
273,230,3543,2356058140842607104
274,33,970,12856688524224491520
275,112,2196,3520484181997688320
276,4,3548,9347746043486875648
277,73,1736,17378196632142974976
278,190,2352,8512420544488300544
279,231,2258,16287210572793190400
280,117,1712,9630773094824808448
281,101,2838,10557404021685606400
282,209,610,11072490171417466880
283,69,1443,5327250181873523712
284,32,3126,1916037293229691392
285,169,3173,1141594685404510976
286,120,1720,8244979139976523776
287,237,905,2792966930591601152
288,237,2587,18018774761813303296
289,90,2996,5607239533299210240
290,194,1641,1486934012404960000
291,205,803,18238742229029965824
292,186,563,17707992786713280512
293,172,482,15544990415714615296
294,227,2445,15388818652394416128
295,127,3264,13898914753225052160
296,209,202,7650925449783771136
297,162,1124,9814321799137710080
298,122,437,7886029431188890624
299,174,3863,9232977365184114688
300,55,960,8154779522948516864
301,128,4084,7043899265096335360
302,139,1315,1616810658726953216
303,161,3518,7418052706919165952
304,188,112,12817532665037742080
305,138,3315,1839369573914256896
306,58,3064,10095640380718946304
307,158,1263,378320879960066112
308,113,3758,2429916031410619392
309,35,3475,9504959735709104128
310,43,503,305568537283546368
311,47,2128,7661980978394158080
312,40,2463,2254810752776515328
313,148,1342,14442850158157748224
314,53,3177,7062743222421234688
315,69,3262,13780884420104568832
316,213,2314,12569671609089744896
317,13,1681,5823251500974666752
318,206,3193,6884337120046121984
319,109,527,13883390239611729920
320,250,3908,13223317899118305280
321,110,54,13747601361934809088
322,234,2367,5776434069194519552
323,14,143,262917303443830336
324,211,977,15258271033755549696
325,72,1570,11544785055465502720
326,80,1052,18119022096809127936
327,219,956,7427556442392620032
328,186,1557,5146519394020629504
329,24,3439,15127182452396976128
330,44,5,9502221842339489792
331,125,3481,8365532434186548224
332,95,2215,12765218529318998016
333,182,756,7240984317128432640
334,230,2458,12772902956769710080
335,63,1490,15825102084729548800
336,208,751,7863989824541656064
337,215,2868,10109027449365966848
338,26,1472,185090190858068928
339,157,225,18277897316185540608
340,126,1839,6207137761296629760
341,253,3175,6140705156334921728
342,166,2598,17519343975036301312
343,204,3567,3761828625676228096
344,138,1990,2389849774292193280
345,95,3507,8857625197445381120
346,119,1008,11413837026614433792
347,247,2439,16106473116095959040
348,227,127,17992171391475251200
349,182,1389,14057257799011311616
350,107,143,17662996961754234880
351,47,2644,6229126904189127680
352,126,4061,16667500747821058048
353,190,1670,5153920606038385664
354,20,1430,4837965695876410368
355,71,156,9452410731825195008
356,204,1577,10324100081474396160
357,80,3467,98174071690707888
358,30,2681,12298384864869562368
359,26,176,12585276578788988928
360,251,1058,8361625765465063424
361,252,3746,17525571872503017472
362,223,4089,13326893437847681024
363,192,2107,1637076460809612288
364,28,1308,4037447297686814208
365,85,3268,9523638015160010752
366,8,2759,16832040391395872768
367,232,507,2889977098616313344
368,145,1314,4410501944544846848
369,221,1192,12843239227536048128
370,39,748,3001323779733841408
371,202,3001,15982705068311470080
372,46,2493,13132253128532191232
373,139,1994,4933632394463740928
374,243,549,14132182805966991360
375,168,2306,5785717107165497344
376,44,1935,3245135605237422592
377,165,2949,5265641864513050624
378,65,188,14377571536775897088
379,244,1139,3828195641824767488
380,91,2146,4249847135851762176
381,30,3615,5782392359459579904
382,162,3517,5450695856842498048
383,59,1429,9046068250150764544
384,183,3960,1452029468025691648
385,196,1732,7806669204023473152
386,77,3031,15707635070356596736
387,132,3131,6394818689680123904
388,121,2872,4205044186135533056
389,183,1057,12892267165923061760
390,201,2787,398223010150254464
391,38,1603,1494479376437699328
392,32,2932,8286016205648501760
393,126,3311,1796787946408998144
394,178,2481,17107910893537142784
395,183,951,4999910567515446272
396,116,2642,14336164599168135168
397,199,3315,10859984409450029056
398,224,1541,6343016110850571264
399,10,662,5267266511624029184
400,25,1098,4284851115164964352
401,215,3367,15246719664559286272
402,73,3060,10106728549009809408
403,112,1324,1768737125565660160
404,98,1128,3057492022448279552
405,121,2457,12993542827975737344
406,235,159,7435530126233027584
407,100,1168,14448373211629266944
408,112,4049,9088730350333102080
409,92,2441,14971338259801223168
410,185,2347,11024531811425853440
411,87,2066,15976817242786510848
412,158,1846,16278858987896442880
413,134,753,17169534792451112960
414,131,2284,14834824391128076288
415,236,3368,15117457929735952384
416,140,4046,14992632215433869312
417,231,1561,924806116233176064
418,12,3840,369372038373863744
419,115,577,13213445867636709376
420,128,4048,5922496821231995904
421,55,2655,15447325790299473920
422,9,2944,9809809606970138624
423,187,591,15554201027344621568
424,64,3469,12369262727507335168
425,143,2148,1955920947803943936
426,40,1435,9463224706360782848
427,79,3103,14961249772429983744
428,59,2730,3832639705833848320
429,183,741,11426249715091253248
430,42,1413,10728991855063844864
431,131,1582,7000912289734827008
432,245,2669,14907939155871621120
433,117,682,9433828047906228224
434,122,2039,5576210538715698176
435,88,1395,6658735968486361088
