UID,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50
0,3,9,6,10,2,8,6,10,6,6,7,10,9,6,1,1,4,8,5,1,5,10,2,10,8,1,2,8,6,1,8,8,4,2,10,1,8,3,6,9,10,7,3,3,9,3,3,4,3,6
1,3,7,8,5,1,8,10,10,5,7,3,1,9,1,5,3,3,3,10,7,10,9,8,4,5,9,6,7,9,5,10,4,10,6,3,4,5,1,1,2,9,9,10,3,8,7,10,9,1,3
2,2,8,3,5,7,4,8,4,4,8,5,8,4,1,2,2,1,5,8,4,2,7,3,5,10,1,5,4,6,1,10,6,6,3,7,2,9,6,6,4,1,1,10,2,9,6,1,7,3,7
3,4,10,10,2,6,9,10,1,2,1,1,8,9,7,8,3,7,8,4,7,5,10,10,8,10,6,7,2,3,2,2,10,8,8,10,10,3,8,7,3,3,7,7,2,9,7,6,8,8,5
4,8,3,7,1,9,3,5,2,5,8,5,7,4,5,3,3,4,5,6,5,1,9,4,4,3,7,9,10,9,8,7,3,3,5,2,8,7,8,10,4,7,5,1,1,5,6,7,6,7,7
5,5,2,3,10,5,2,4,3,6,1,5,9,9,10,10,7,7,5,7,10,8,10,3,7,3,6,9,3,1,2,6,10,3,1,4,4,6,10,2,8,6,2,10,1,3,8,4,3,5,6
6,4,5,2,7,7,7,7,9,5,4,10,9,5,8,9,1,9,4,8,3,3,2,3,1,5,3,4,1,5,2,5,3,9,1,10,8,5,1,6,2,8,10,2,2,3,3,7,7,4,2
7,4,4,10,5,7,9,2,2,8,7,6,7,8,9,3,9,1,5,1,9,1,1,5,5,9,4,2,9,8,7,9,9,9,6,3,2,3,8,6,9,1,5,7,8,5,9,8,8,4,4
8,7,8,3,10,5,8,7,8,3,6,1,10,9,2,3,6,4,1,10,6,1,10,1,5,9,8,8,10,3,6,10,4,3,5,1,5,9,8,2,1,1,6,7,9,4,4,6,10,10,7
9,1,7,2,8,2,4,8,7,4,4,6,6,5,5,8,7,7,2,4,10,5,2,6,2,5,10,1,7,5,4,4,8,2,5,8,4,7,3,10,1,7,10,3,7,8,9,6,5,4,3
10,2,6,9,9,3,6,4,1,6,2,7,9,6,5,3,7,8,1,8,3,8,5,5,2,10,5,1,5,4,6,5,1,6,8,10,4,5,1,4,7,10,5,10,8,4,1,6,1,2,7
11,4,5,4,3,5,2,7,8,2,2,3,2,9,1,7,4,10,2,3,10,10,7,5,10,6,5,3,8,5,7,9,1,8,2,8,7,1,2,6,3,3,4,2,8,3,10,1,1,8,8
12,10,10,1,7,5,1,1,3,2,9,3,5,4,10,10,1,8,3,5,10,10,3,8,6,2,4,5,2,3,1,6,2,8,9,5,3,7,3,5,4,3,7,6,10,9,3,7,1,7,3
13,7,5,1,10,6,2,8,4,8,9,9,3,10,8,3,4,5,7,9,7,4,7,9,4,8,10,5,2,5,5,1,5,2,8,4,6,1,1,5,9,4,6,3,2,2,8,9,3,3,3
14,2,3,7,10,1,10,8,9,3,8,5,3,9,4,2,8,3,8,10,2,4,10,6,1,7,1,3,10,3,3,3,5,8,2,9,2,3,9,9,9,10,4,3,8,8,10,10,10,8,9
15,9,8,1,10,2,2,9,4,1,1,10,1,3,10,3,4,8,10,9,2,7,9,8,8,1,3,3,7,4,5,1,2,2,9,8,1,7,2,2,7,10,6,4,9,3,1,6,8,6,9
16,9,10,8,10,10,4,4,8,5,2,3,5,7,3,3,4,6,6,4,1,5,6,10,2,7,10,7,5,8,4,5,10,9,9,5,2,2,6,6,8,1,10,10,1,7,3,5,10,9,2
17,6,1,5,5,1,1,1,2,8,5,3,7,4,1,1,8,2,10,2,9,9,8,1,2,8,6,8,6,2,5,5,5,1,4,10,2,5,5,1,1,1,4,5,1,6,10,10,3,6,8
18,4,6,1,10,10,2,8,5,6,3,2,8,1,10,10,6,9,8,10,1,2,1,8,8,1,9,4,5,8,1,7,5,5,9,1,1,10,7,4,10,5,6,4,4,1,10,1,5,2,1
19,7,2,1,8,7,8,4,9,8,9,3,7,3,8,2,5,1,4,4,9,3,10,2,7,7,6,1,6,7,9,2,5,8,2,1,10,6,7,5,9,8,8,8,8,10,8,9,7,5,2
20,4,6,7,8,4,2,9,4,6,7,10,8,6,9,3,3,6,10,4,3,10,6,5,8,3,7,10,3,1,1,9,2,10,4,3,8,9,3,6,2,7,1,3,7,10,4,8,3,6,6
21,2,7,10,10,7,9,7,6,5,2,7,8,8,8,5,8,9,1,10,2,2,9,7,6,3,8,8,9,10,8,5,9,3,2,3,5,8,9,10,2,3,2,2,9,10,3,4,6,5,10
22,2,2,1,7,6,5,2,7,5,7,8,1,1,1,4,4,5,4,9,2,1,3,3,10,3,5,4,10,5,8,10,6,8,1,8,7,10,1,6,3,8,4,8,3,2,5,3,5,5,6
23,10,1,7,3,7,7,7,8,8,7,4,8,2,9,1,6,7,7,6,6,10,3,10,10,2,6,9,9,9,2,9,4,1,1,2,7,3,4,7,2,3,3,3,4,5,1,5,6,7,5
24,1,9,8,5,8,10,3,5,8,2,2,3,2,3,8,3,1,2,7,6,2,1,10,1,6,1,9,1,7,6,1,1,4,7,1,9,5,4,7,3,7,10,8,4,5,6,6,6,10,7
