UID,Col1,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43,Col44,Col45,Col46,Col47,Col48,Col49,Col50,Col51,Col52,Col53,Col54,Col55,Col56,Col57,Col58,Col59,Col60,Col61,Col62,Col63,Col64,Col65,Col66,Col67,Col68,Col69,Col70,Col71,Col72,Col73,Col74,Col75,Col76,Col77,Col78,Col79,Col80,Col81,Col82,Col83,Col84,Col85,Col86,Col87,Col88,Col89,Col90,Col91,Col92,Col93,Col94,Col95,Col96,Col97,Col98,Col99,Col100
0,14,4,154,7,141,735,2,22,2,310,165,5,802,206,4,67,3,18,30,3,1,3,2,2,1,3,2,2,1,3,6,180,5,21,115,13,6,1,196,1,145,2,13,5,1,43,6,1,229,1,368,1,324,60,5,242,2,44,51,1,4,21,1,12,28,21,52,6,1,51,1,1,49,3,10,2,1,2,1,26,4,25,2,20,3,2,56,4,47,2,1,6,7,36,30,4,4,5,2,5
1,6,1,800,46,319,262,1,38,1,107,129,3,1819,179,5,140,1,34,19,3,2,1,47,1,3,3,3,2,1,1,33,111,3,18,52,15,13,38,56,1,2,1,14,54,2,1095,7,2,216,3,37,3,126,106,1,124,6,32,49,4,2,39,1,29,36,13,6,3,1,64,16,3,40,3,5,5,2,6,1,33,6,27,8,29,4,4,23,1,41,1,3,6,44,31,19,3,4,2,3,3
2,3,2,612,13,402,730,1,24,2,201,119,1,2288,136,2,234,3,40,34,1,1,1,10,3,1,1,3,5,1,5,33,217,3,31,45,16,10,18,17,1,37,9,1,104,2,281,3,3,55,1,103,1,262,329,1,27,6,15,55,1,3,14,1,15,4,27,53,4,3,38,14,1,41,1,16,2,2,2,4,45,1,32,1,39,1,5,17,4,5,1,2,7,25,20,2,2,1,2,7,8
3,31,2,583,12,211,138,2,35,1,88,131,3,2117,55,1,223,2,6,32,3,1,2,24,5,1,2,3,5,1,1,45,194,9,16,81,28,20,4,100,1,186,3,23,49,3,833,6,2,345,2,40,2,295,279,4,221,4,37,42,5,3,28,2,59,4,18,48,2,1,38,46,1,36,3,53,5,3,1,2,2,1,1,1,38,3,2,23,4,5,3,2,10,39,8,15,1,4,5,5,1
4,33,3,372,6,132,835,2,13,2,98,140,1,1948,34,1,316,2,1,31,1,3,2,30,4,3,1,1,1,1,2,28,162,3,18,56,19,19,12,136,1,192,10,26,103,3,216,2,1,393,3,125,2,176,106,4,58,2,42,30,5,2,56,1,47,5,21,28,4,4,12,7,1,44,2,19,1,3,5,2,22,3,40,2,36,3,4,36,1,34,4,4,8,19,10,43,1,1,3,3,10
5,20,5,1165,2,350,262,1,42,2,326,203,4,585,125,1,311,2,23,4,1,3,3,27,3,2,2,1,3,1,3,17,24,5,33,25,37,17,16,18,1,234,4,16,78,2,711,3,3,120,3,19,3,283,82,5,34,3,36,7,1,3,23,2,63,23,38,19,4,3,21,12,1,43,1,30,3,1,2,3,23,6,27,6,41,1,4,37,1,36,3,2,3,5,28,21,1,5,3,1,6
6,33,4,882,44,214,68,3,42,2,87,194,4,1266,133,4,298,2,26,5,1,1,1,6,1,3,3,2,1,1,3,35,22,5,28,22,16,22,10,78,1,6,1,33,115,3,973,8,3,124,3,104,1,161,230,3,11,3,15,33,4,4,21,4,53,18,4,46,6,2,3,35,4,4,1,1,4,4,4,3,25,5,38,3,4,3,4,46,2,9,2,3,4,7,45,33,4,1,4,7,1
7,6,3,447,13,243,582,2,13,2,272,136,4,1548,15,4,168,2,45,29,2,5,1,36,1,2,1,1,5,1,3,17,23,7,31,56,4,22,15,223,1,122,7,34,97,3,1056,10,1,303,3,180,1,214,177,3,162,4,45,29,4,4,4,1,51,47,23,28,6,4,1,35,4,50,2,22,3,3,6,1,12,5,8,5,37,2,1,51,2,60,1,3,3,31,6,20,3,2,4,4,4
8,15,1,1175,6,431,69,2,35,2,336,33,2,432,92,3,140,3,34,6,1,4,2,52,5,2,3,1,4,1,3,34,97,8,34,33,24,11,14,204,1,82,3,22,97,3,465,1,1,99,2,270,3,444,273,1,259,4,10,9,2,3,20,4,45,11,9,16,3,2,17,33,3,51,2,47,3,3,1,1,7,3,37,3,42,4,5,23,5,4,6,4,8,44,24,38,3,2,2,8,9
9,8,3,552,16,137,704,1,16,2,252,55,1,1378,52,1,230,2,14,34,2,4,1,6,3,1,1,2,4,1,3,13,54,11,13,43,22,16,20,185,1,31,7,28,106,3,49,6,1,244,2,132,3,281,17,1,135,3,24,54,3,2,51,2,50,2,20,6,2,1,18,26,2,46,1,24,1,3,1,3,15,1,24,7,31,1,4,2,3,11,2,1,5,18,35,16,2,2,4,7,9
