UID,Col1,Col2,Col3
0,1,1,5
1,2,2,18
2,2,1,16
3,1,3,15
4,1,3,21
5,2,1,22
6,2,1,14
7,1,2,15
8,2,3,2
9,2,2,11
10,2,3,5
11,2,3,23
12,2,3,6
13,2,1,21
14,2,2,19
15,1,2,3
16,2,3,13
17,1,1,24
18,2,1,4
19,1,2,11
20,1,2,18
21,2,1,3
22,2,1,10
23,2,3,14
24,1,2,10
25,1,2,17
26,1,3,4
27,1,2,1
28,1,1,25
29,2,2,21
30,2,1,1
31,2,3,2
32,1,1,17
33,1,2,9
34,2,1,21
35,1,3,4
36,1,1,15
37,2,1,12
38,1,3,25
39,1,2,6
40,1,1,22
41,2,1,13
42,2,2,20
43,1,3,4
44,2,3,16
45,1,2,21
46,2,3,12
47,1,1,24
48,2,3,12
49,2,3,8
50,2,1,24
51,2,3,10
52,2,3,6
53,2,1,16
54,1,1,14
55,1,1,16
56,2,2,11
57,2,3,7
58,1,3,14
59,1,2,9
60,2,1,3
61,1,2,13
62,1,3,3
63,2,1,16
64,2,1,18
65,1,2,14
66,1,3,15
67,1,3,7
68,2,2,21
69,1,2,20
70,1,2,20
71,1,3,6
72,2,2,23
73,2,3,2
74,1,1,12
75,2,1,21
76,1,2,23
77,2,1,11
78,1,2,2
79,2,2,22
80,2,1,18
81,1,1,17
82,1,2,17
83,2,2,22
84,2,2,8
85,1,3,2
86,1,2,17
87,2,2,24
88,1,2,5
89,1,3,22
90,2,1,14
91,2,2,17
92,2,3,15
93,1,2,25
94,1,3,23
95,2,3,18
96,2,1,22
97,1,3,10
98,2,3,22
99,2,2,16
100,1,3,24
101,2,3,8
102,1,1,6
103,1,3,6
104,1,2,3
105,1,1,12
106,1,2,8
107,2,2,18
108,2,2,6
109,2,1,8
110,2,3,21
111,1,3,16
112,1,3,14
113,2,1,11
114,2,1,12
115,2,2,21
116,1,3,7
117,1,1,15
118,1,3,10
119,2,1,15
120,1,1,3
121,1,1,25
122,2,1,23
123,2,2,3
124,1,1,7
125,1,3,17
126,1,3,10
127,1,2,19
128,1,3,2
129,1,3,6
130,1,1,18
131,2,2,1
132,1,3,18
133,2,2,14
134,2,2,9
135,2,3,3
136,2,1,11
137,1,1,1
138,1,3,9
139,1,3,21
140,2,2,3
141,1,3,20
142,1,3,11
143,2,3,16
144,2,2,9
145,1,3,25
146,2,2,6
147,2,1,1
148,1,2,9
149,2,2,11
150,1,2,9
151,2,1,16
152,1,1,5
153,1,1,11
154,1,3,19
155,2,3,23
156,2,2,20
157,2,2,16
158,2,1,24
159,1,1,11
160,1,1,3
161,2,1,25
162,2,3,4
163,1,2,18
164,1,1,17
165,1,2,6
166,1,3,17
167,1,1,23
168,2,1,3
169,2,3,1
170,1,3,7
171,2,3,11
172,2,3,18
173,2,2,8
174,1,1,2
175,2,3,12
176,2,3,9
177,1,2,21
178,2,1,17
179,2,2,3
180,1,1,20
181,2,1,15
182,1,2,5
183,1,3,3
184,1,1,14
185,2,1,7
186,1,1,13
187,2,1,12
188,2,2,19
189,1,3,11
190,1,2,10
191,1,3,9
192,1,1,19
193,2,1,15
194,1,2,25
195,2,2,8
196,1,2,17
197,2,1,19
198,2,3,20
199,2,2,6
200,2,3,3
201,2,1,5
202,1,3,18
203,1,2,16
204,2,1,6
205,1,3,16
206,2,2,5
207,1,1,16
208,1,2,25
209,2,2,18
210,1,3,14
211,2,2,14
212,2,1,8
213,2,2,2
214,2,1,23
215,2,3,20
216,2,2,15
217,2,1,16
218,2,3,3
219,1,3,13
220,1,1,22
221,2,1,18
222,2,1,23
223,1,1,7
224,2,2,8
225,1,1,15
226,1,1,1
227,1,3,9
228,1,1,5
229,2,2,5
230,2,1,8
231,1,2,19
232,1,1,3
233,2,3,13
234,2,2,22
235,1,3,17
236,2,2,22
237,2,2,15
238,1,1,13
239,2,1,1
240,1,1,11
241,2,3,12
242,2,1,22
243,1,3,3
244,2,2,24
245,1,1,2
246,1,2,23
247,2,2,10
248,1,1,14
249,1,1,24
250,2,2,15
251,2,2,13
252,2,2,8
253,2,1,4
254,2,1,23
